Date,Open,High,Low,Close,Volume
2023-08-31,32361.02,32692.76,32359.15,32619.34,114600000
2023-09-01,32521.15,32845.46,32499.44,32710.62,88400000
2023-09-04,32797.32,32939.18,32714.94,32939.18,89600000
2023-09-05,32941.41,33036.76,32784.32,33036.76,91300000
2023-09-06,33115.06,33282.15,33088.22,33241.02,94200000
2023-09-07,33118.55,33322.45,32986.35,32991.08,100200000
2023-09-08,32916.25,32920.43,32512.80,32606.84,114100000
2023-09-11,32690.54,32746.14,32391.69,32467.76,84200000
2023-09-12,32629.16,32799.69,32486.48,32776.37,94000000
2023-09-13,32742.29,32872.44,32616.65,32706.52,98100000
2023-09-14,32925.54,33244.45,32851.24,33168.10,112100000
2023-09-15,33428.44,33634.31,33391.46,33533.09,166600000
2023-09-19,33296.23,33337.23,33128.86,33242.59,117200000
2023-09-20,33261.35,33267.14,32988.65,33023.78,113500000
2023-09-21,32865.56,32939.89,32550.65,32571.03,107900000
2023-09-22,32189.32,32535.67,32154.53,32402.41,109800000
2023-09-25,32517.26,32722.22,32388.28,32678.62,82100000
2023-09-26,32640.05,32643.41,32315.05,32315.05,86500000
2023-09-27,32023.37,32371.90,31960.32,32371.90,105600000
2023-09-28,32119.37,32164.45,31674.42,31872.52,115900000
2023-09-29,32018.64,32027.46,31717.74,31857.62,132000000
2023-10-02,32101.97,32401.58,31759.88,31759.88,103100000
2023-10-03,31607.97,31607.97,31157.40,31237.94,109600000
2023-10-04,30765.03,30830.85,30487.67,30526.88,137200000
2023-10-05,30733.65,31083.90,30565.32,31075.36,114200000
2023-10-06,31003.95,31160.45,30928.16,30994.67,94600000
2023-10-10,31314.67,31818.26,31314.67,31746.53,101000000
2023-10-11,31847.10,32037.07,31804.09,31936.51,89500000
2023-10-12,32120.94,32494.66,32120.94,32494.66,100600000
2023-10-13,32328.39,32533.08,32249.03,32315.99,91500000
2023-10-16,31983.04,31999.79,31564.31,31659.03,84500000
2023-10-17,32063.79,32260.77,31901.39,32040.29,75600000
2023-10-18,32033.81,32101.47,31866.95,32042.25,83200000
2023-10-19,31579.54,31669.42,31399.17,31430.62,80700000
2023-10-20,31164.89,31428.97,31093.90,31259.36,84500000
2023-10-23,31151.98,31177.41,30974.26,30999.55,73500000
2023-10-24,31157.01,31210.26,30551.67,31062.35,97900000
2023-10-25,31302.51,31466.92,31195.58,31269.92,78700000
2023-10-26,30902.92,30943.33,30567.61,30601.78,85600000
2023-10-27,30713.79,31081.48,30687.33,30991.69,89100000
2023-10-30,30663.48,30762.50,30538.29,30696.96,187000000
2023-10-31,30694.96,30973.66,30552.65,30858.85,134300000
2023-11-01,31311.22,31601.65,31301.51,31601.65,130100000
2023-11-02,31987.02,32087.13,31878.36,31949.89,121100000
2023-11-06,32450.82,32766.54,32395.50,32708.48,139400000
2023-11-07,32551.77,32591.11,32250.93,32271.82,106700000
2023-11-08,32457.23,32512.17,32049.34,32166.48,156200000
2023-11-09,32316.39,32723.71,32193.20,32646.46,115500000
2023-11-10,32491.24,32598.93,32248.24,32568.11,111300000
2023-11-13,32818.15,32913.31,32499.28,32585.11,90600000
2023-11-14,32760.51,32836.27,32667.40,32695.93,88100000
2023-11-15,33112.31,33556.52,33096.93,33519.70,123800000
2023-11-16,33399.59,33614.13,33233.84,33424.41,94200000
2023-11-17,33344.85,33599.63,33263.67,33585.20,93200000
2023-11-20,33559.62,33853.46,33352.69,33388.03,94900000
2023-11-21,33453.15,33460.32,33254.73,33354.14,91900000
2023-11-22,33182.99,33593.50,33182.99,33451.83,75600000
2023-11-24,33752.05,33817.86,33622.57,33625.53,80700000
2023-11-27,33710.03,33811.41,33397.04,33447.67,82700000
2023-11-28,33520.39,33545.85,33298.04,33408.39,84100000
2023-11-29,33244.43,33516.23,33179.07,33321.22,89200000
2023-11-30,33260.14,33486.89,33161.07,33486.89,152200000
2023-12-01,33537.44,33551.57,33397.42,33431.51,87600000
